run_id,original_length,assembled_length,length_difference,optimization_time
1,10000,10000,0,3.8529675006866455
2,10000,10000,0,4.368001222610474
3,10000,10060,60,4.010998964309692
4,10000,10035,35,4.070998907089233
5,10000,10000,0,4.023000001907349
6,10000,10051,51,3.914034366607666
7,10000,10000,0,4.246976375579834
8,10000,10000,0,4.052998781204224
9,10000,10000,0,4.11199426651001
10,10000,10000,0,4.1640002727508545
11,10000,10000,0,4.34999942779541
12,10000,10000,0,4.019033432006836
13,10000,10033,33,4.395000219345093
14,10000,10000,0,4.128030776977539
15,10000,10000,0,3.9849965572357178
16,10000,10000,0,4.630894660949707
17,10000,10000,0,4.239036321640015
18,10000,10000,0,4.080997705459595
19,10000,10000,0,3.9030020236968994
20,10000,10000,0,4.244033575057983
