run_id,original_length,assembled_length,length_difference,optimization_time,best_fitness,num_colonies
1,50000,50042,42,88.52295589447021,50042,4
2,50000,50168,168,80.77116203308105,50168,4
3,50000,50000,0,77.49283337593079,50000,4
4,50000,50095,95,79.52998423576355,50095,4
5,50000,50000,0,74.82885599136353,50000,4
6,50000,50000,0,80.98118281364441,50000,4
7,50000,50098,98,80.01987791061401,50098,4
8,50000,50000,0,80.19279170036316,50000,4
9,50000,50000,0,83.65839576721191,50000,4
10,50000,50115,115,79.4099977016449,50115,4
11,50000,50090,90,83.19889831542969,50090,4
12,50000,50030,30,77.72833704948425,50030,4
13,50000,50044,44,77.49720001220703,50044,4
14,50000,50000,0,82.27519059181213,50000,4
15,50000,50000,0,77.7940001487732,50000,4
16,50000,50033,33,78.48344326019287,50033,4
17,50000,50047,47,80.80707716941833,50047,4
18,50000,50079,79,80.55399918556213,50079,4
19,50000,50000,0,79.72603487968445,50000,4
20,50000,50112,112,78.99928665161133,50112,4
